Frequence (Hz),Module (Ohm),Phase (deg)
3350.04,191.21,58.47
3412.45,195.31,59.20
3476.02,199.49,59.92
3540.77,203.75,60.61
3606.73,208.09,61.28
3673.92,212.52,61.93
3742.37,217.02,62.56
3812.08,221.61,63.18
3883.10,226.29,63.77
3955.44,231.05,64.35
4029.12,235.90,64.92
4104.18,240.84,65.47
4180.64,245.86,66.00
4258.52,250.98,66.52
4337.85,256.19,67.02
4418.66,261.49,67.52
4500.98,266.89,67.99
4584.82,272.38,68.46
4670.23,277.97,68.92
4757.24,283.66,69.36
4845.86,289.45,69.79
4936.13,295.35,70.21
5028.09,301.35,70.62
5121.76,307.45,71.02
5217.17,313.67,71.41
5314.36,319.99,71.79
5413.36,326.43,72.16
5514.21,332.98,72.52
5616.93,339.64,72.88
5721.57,346.43,73.22
5828.15,353.33,73.56
5936.73,360.36,73.89
6047.32,367.51,74.21
6159.98,374.79,74.53
6274.73,382.20,74.83
6391.62,389.74,75.13
6510.69,397.42,75.43
6631.98,405.23,75.71
6755.53,413.19,75.99
6881.38,421.28,76.27
7009.57,429.52,76.54
7140.15,437.91,76.80
7273.17,446.45,77.06
7408.66,455.14,77.31
7546.67,463.99,77.55
7687.26,472.99,77.79
7830.47,482.16,78.03
7976.34,491.50,78.26
8124.93,501.00,78.49
8276.29,510.67,78.71
8430.47,520.52,78.92
8587.52,530.55,79.14
8747.50,540.75,79.34
8910.45,551.15,79.55
9076.45,561.73,79.75
9245.53,572.50,79.94
9417.77,583.47,80.13
9593.21,594.64,80.32
9771.92,606.01,80.50
9953.96,617.59,80.68
10139.39,629.38,80.86
10328.28,641.38,81.03
10520.69,653.60,81.20
10716.68,666.05,81.36
10916.32,678.72,81.53
11119.68,691.62,81.69
11326.83,704.76,81.84
11537.83,718.15,82.00
11752.77,731.77,82.15
11971.71,745.65,82.29
12194.73,759.78,82.44
12421.91,774.16,82.58
12653.32,788.82,82.72
12889.04,803.74,82.85
13129.15,818.93,82.99
13373.73,834.41,83.12
13622.87,850.17,83.25
13876.65,866.22,83.37
14135.16,882.56,83.49
14398.48,899.21,83.61
14666.71,916.16,83.73
14939.93,933.42,83.85
15218.25,951.00,83.96
15501.75,968.91,84.08
15790.53,987.15,84.19
16084.69,1005.72,84.29
16384.34,1024.64,84.40
16689.56,1043.90,84.50
17000.47,1063.52,84.60
17317.17,1083.50,84.70
17639.77,1103.86,84.80
17968.38,1124.58,84.90
18303.12,1145.70,84.99
18644.09,1167.20,85.09
18991.41,1189.10,85.18
19345.20,1211.40,85.26
19705.58,1234.12,85.35
20072.67,1257.26,85.44
20446.61,1280.82,85.52
20827.51,1304.83,85.60
21215.50,1329.27,85.69
21610.73,1354.17,85.77
22013.31,1379.54,85.84
22423.40,1405.37,85.92
22841.12,1431.68,85.99
23266.63,1458.48,86.07
23700.06,1485.77,86.14
24141.57,1513.57,86.21
24591.30,1541.89,86.28
25049.42,1570.73,86.35
25516.06,1600.11,86.42
25991.40,1630.03,86.48
26475.59,1660.51,86.55
26968.81,1691.56,86.61
27471.21,1723.18,86.67
27982.97,1755.38,86.73
28504.26,1788.19,86.79
29035.27,1821.61,86.85
29576.17,1855.64,86.91
30127.14,1890.31,86.97
30688.38,1925.62,87.02
31260.07,1961.59,87.08
31842.42,1998.22,87.13
32435.61,2035.54,87.18
33039.85,2073.55,87.24
33655.35,2112.27,87.29
34282.31,2151.70,87.34
34920.96,2191.87,87.39
35571.50,2232.79,87.43
36234.16,2274.47,87.48
36909.17,2316.92,87.53
37596.75,2360.16,87.57
38297.14,2404.21,87.62
39010.58,2449.07,87.66
39737.30,2494.77,87.70
40477.57,2541.32,87.74
41231.63,2588.73,87.79
41999.73,2637.03,87.83
42782.14,2686.22,87.87
43579.13,2736.33,87.91
44390.97,2787.38,87.94
45217.92,2839.37,87.98
46060.29,2892.33,88.02
46918.35,2946.27,88.05
47792.39,3001.22,88.09
48682.71,3057.19,88.13
49589.62,3114.20,88.16
50513.42,3172.28,88.19
51454.44,3231.43,88.23
52412.98,3291.69,88.26
53389.38,3353.06,88.29
54383.97,3415.58,88.32
55397.09,3479.27,88.35
56429.08,3544.13,88.38
57480.30,3610.21,88.41
58551.10,3677.52,88.44
59641.85,3746.07,88.47
60752.92,3815.91,88.50
61884.68,3887.04,88.53
63037.53,3959.50,88.55
64211.86,4033.31,88.58
65408.06,4108.49,88.61
66626.55,4185.08,88.63
67867.73,4263.08,88.66
69132.04,4342.54,88.68
70419.90,4423.48,88.70
71731.75,4505.93,88.73
73068.04,4589.91,88.75
74429.22,4675.46,88.77
75815.76,4762.60,88.80
77228.14,4851.36,88.82
78666.82,4941.77,88.84
80132.30,5033.87,88.86
81625.09,5127.68,88.88
83145.68,5223.24,88.90
84694.60,5320.58,88.92
86272.37,5419.73,88.94
87879.54,5520.73,88.96
89516.65,5623.61,88.98
91184.25,5728.40,89.00
92882.92,5835.15,89.02
94613.24,5943.88,89.04
96375.79,6054.64,89.05
98171.17,6167.47,89.07
100000.00,6282.39,89.09
